"STATION","NAME","DATE","PRCP","SNOW","SNWD"
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-05-02","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-05-03","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-05-04","0.22",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-05-05","0.14",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-05-06","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-05-07","0.07",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-05-08","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-05-09","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-05-10","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-05-11","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-05-12","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-05-13","0.47",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-05-14","0.00",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-05-15","0.02",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-05-16","0.61",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-05-17","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-05-18","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-05-19","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-05-20","1.12",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-05-21","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-05-22","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-05-23","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-05-24","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-05-25","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-05-26","0.20",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-05-27","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-05-28","0.00",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-05-29","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-05-30","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-05-31","0.49",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-06-01","0.01",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-06-02","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-08-12","0.01",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-08-13","1.04",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-08-15","0.84",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-08-16","0.00",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-08-17","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-08-18","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-08-19","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-08-20","0.13",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-08-21","0.06",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-08-22","0.15",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-08-23","1.19",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-08-24","0.00",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-08-25","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-08-26","0.30",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-08-27","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-08-28","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-08-29","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-08-30","0.28",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-08-31","0.02",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-09-01","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-09-02","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-09-03","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-09-04","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-09-05","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-09-06","0.07",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-09-07","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-09-08","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-09-09","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-09-10","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-09-11","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-09-12","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-09-13","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-09-14","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-09-15","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-09-16","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-09-17","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-09-18","0.05",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-09-19","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-09-20","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-09-21","0.11",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-09-22","1.80",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-09-23","0.23",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-09-24","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-09-25","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-09-26","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-09-27","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-09-28","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-09-29","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-09-30","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-10-01","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-10-02","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-10-03","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-10-04","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-10-05","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-10-06","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-10-07","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-10-08","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-10-09","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-10-10","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-10-11","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-10-12","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-10-13","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-10-14","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-10-15","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-10-16","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-10-17","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-10-18","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-10-19","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-10-20","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-10-21","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-10-22","0.01",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-10-23","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-10-24","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-10-25","0.09",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-10-26","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-10-27","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-10-28","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-10-29","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-10-30","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-10-31","0.57",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-11-01","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-11-02","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-11-03","4.04",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-11-04","0.29",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-11-05","0.23",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-11-06","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-11-07","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-11-08","0.42",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-11-09","1.77",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-11-10","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-11-11","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-11-13","0.29",,
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-11-14","0.00","0.0",
"US1KSSG0128","ANDOVER 2.4 SSW, KS US","2024-11-15","0.00","0.0",
