STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2025-01-04,,,0.0,0.0,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2025-01-06,2.0,1.15,,,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2025-01-08,,,0.0,0.0,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2025-01-09,,,0.0,0.0,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2025-01-10,,,0.5,,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2025-01-21,,,0.02,,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2025-01-30,,,0.1,,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2025-01-31,,,0.01,,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2025-02-06,,,0.0,0.0,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2025-02-07,,,0.0,0.0,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2025-02-10,,,0.0,0.0,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2025-02-12,,,0.2,2.5,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2025-02-14,,,0.0,0.0,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2025-02-16,,,0.0,0.0,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2025-02-17,,,0.0,0.0,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2025-02-19,,,0.23,,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2025-02-20,,,0.0,0.0,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2025-02-22,,,0.0,0.0,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2025-02-23,,,0.0,0.0,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2025-02-24,,,0.0,0.0,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2025-02-27,,,0.0,0.0,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2025-02-28,,,0.0,0.0,
