STATION,NAME,DATE,PRCP,SNOW,SNWD
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2024-01-06,0.42,,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2024-01-08,0.18,,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2024-01-09,1.14,,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2024-01-23,0.23,,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2024-02-03,0.46,,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2024-02-04,0.35,,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2024-03-07,0.1,,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2024-03-08,1.02,,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2024-03-25,1.37,,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2024-04-02,0.14,,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2024-04-07,0.02,,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2024-04-16,0.15,,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2024-04-18,0.03,,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2024-04-26,0.2,,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2024-04-28,1.05,,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2024-05-01,0.75,,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2024-05-04,0.25,,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2024-05-05,0.02,,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2024-05-07,0.02,,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2024-05-13,0.57,,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2024-05-15,0.07,,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2024-05-16,0.73,,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2024-05-20,1.25,,
US1KSSG0127,"WICHITA 6.3 ENE, KS US",2024-05-24,0.02,,
